Simbolo,Time,Fecha,Entrada,Stop,MM20,MM8
AAPL,1628531400,2021-8-9 19:50:00,146.04,145.95,145.9205,145.959375
AAPL,1628531700,2021-8-9 19:55:00,145.97,145.82,145.91500000000002,145.953125
AAPL,1628615100,2021-8-10 19:05:00,145.65,145.72,145.745,145.70375
AAPL,1628622300,2021-8-10 21:05:00,145.67,145.57,145.566,145.6275
AAPL,1628693100,2021-8-11 16:45:00,145.74,145.87,145.9053,145.755
AAPL,1628696400,2021-8-11 17:40:00,145.94,145.751,145.7925,145.84625
AAPL,1628696700,2021-8-11 17:45:00,145.93,145.72,145.777,145.85125000000002
AAPL,1628704500,2021-8-11 19:55:00,145.975,146.08,146.25325,146.095625
AAPL,1628709300,2021-8-11 21:15:00,145.95,145.89,145.95175,145.95812500000002
AAPL,1628784900,2021-8-12 18:15:00,147.95,148.1,148.12380000000002,148.063875
AAPL,1628785200,2021-8-12 18:20:00,148.02,148.12,148.1428,148.048875
AAPL,1628785500,2021-8-12 18:25:00,148.09,148.2,148.16379999999998,148.042625
AAPL,1628785800,2021-8-12 18:30:00,148.23,148.371,148.1781,148.05775
AAPL,1628786100,2021-8-12 18:35:00,148.255,148.4,148.18835000000004,148.10025
AAPL,1628787900,2021-8-12 19:05:00,148.305,148.23,148.19715000000002,148.309
AAPL,1628862000,2021-8-13 15:40:00,148.38,148.9,148.72230000000002,148.71949999999998
AAPL,1628863200,2021-8-13 16:00:00,149.21,148.7,148.7983,148.8745
AAPL,1628863500,2021-8-13 16:05:00,149.2,148.97,148.81655000000003,148.897625
AAPL,1628880600,2021-8-13 20:50:00,148.88,149.03,148.94619999999998,148.93562500000002
AAPL,1628883000,2021-8-13 21:30:00,148.99,148.92,148.96049999999997,148.97875
AAPL,1629224700,2021-8-17 20:25:00,149.87,149.75,149.54194999999999,149.755
AAPL,1629294000,2021-8-18 15:40:00,150.03,149.68,149.9252,149.93
AAPL,1629294300,2021-8-18 15:45:00,149.73,150.15,149.9352,149.91374999999996
AAPL,1629296700,2021-8-18 16:25:00,149.965,149.68,149.96125,150.0125
AAPL,1629297000,2021-8-18 16:30:00,149.88,149.75,149.95775,150.00875
AAPL,1629297300,2021-8-18 16:35:00,149.86,149.56,149.94200000000004,149.996875
AAPL,1629304800,2021-8-18 18:40:00,148.79,148.695,148.64499999999998,148.75125
AAPL,1629305100,2021-8-18 18:45:00,148.63,148.53,148.6175,148.735
AAPL,1629305400,2021-8-18 18:50:00,148.61,148.459,148.61150000000004,148.7125
AAPL,1629312900,2021-8-18 20:55:00,148.04,147.93,148.20925000000003,148.22750000000002
AAPL,1629385800,2021-8-19 17:10:00,146.56,146.24,145.7968,146.093125
AAPL,1629394800,2021-8-19 19:40:00,146.98,147.14,147.4435,147.17000000000002
