Simbolo,Time,Fecha,Entrada,Stop,MM20,MM8
AAPL,1628007600,2021-8-3 18:20:00,147.22,147.01,146.28025,147.059375
AAPL,1628007900,2021-8-3 18:25:00,147.11,146.95,146.35625,147.109375
AAPL,1628084700,2021-8-4 15:45:00,147.24,147.78,147.40375000000003,147.3225
AAPL,1628088300,2021-8-4 16:45:00,146.91,147.06,147.2385,146.98375000000001
AAPL,1628091300,2021-8-4 17:35:00,146.44,146.62,146.86124999999998,146.516875
AAPL,1628098200,2021-8-4 19:30:00,147.295,147.08,147.159,147.315
AAPL,1628171700,2021-8-5 15:55:00,146.815,147.095,146.97625,147.02312500000002
AAPL,1628172000,2021-8-5 16:00:00,146.95,147.15,146.96949999999998,146.983125
AAPL,1628193000,2021-8-5 21:50:00,146.9,147.03,147.06400000000002,146.85875000000001
AAPL,1628193300,2021-8-5 21:55:00,146.96,147.11,147.04875,146.8825
AAPL,1628257800,2021-8-6 15:50:00,146.27,146.64,146.85125000000002,146.596875
AAPL,1628258100,2021-8-6 15:55:00,146.56,146.86,146.819,146.560625
AAPL,1628265300,2021-8-6 17:55:00,146.12,146.29,146.48695,146.173
AAPL,1628265600,2021-8-6 18:00:00,146.22,146.31,146.46094999999997,146.168125
AAPL,1628269200,2021-8-6 19:00:00,146.1,146.22,146.14319999999998,146.104375
AAPL,1628272200,2021-8-6 19:50:00,145.83,145.92,146.042,145.890625
AAPL,1628272500,2021-8-6 19:55:00,145.86,145.94,146.02900000000002,145.87125
AAPL,1628272800,2021-8-6 20:00:00,145.88,145.965,146.02000000000004,145.872625
AAPL,1628273100,2021-8-6 20:05:00,145.9,145.965,146.00805,145.87574999999998
AAPL,1628277000,2021-8-6 21:10:00,145.765,145.845,145.8433,145.77562500000002
AAPL,1628277300,2021-8-6 21:15:00,145.825,145.895,145.84254999999996,145.7775
AAPL,1628615100,2021-8-10 19:05:00,145.65,145.72,145.74200000000002,145.70375
AAPL,1628618100,2021-8-10 19:55:00,145.61,145.71,145.68800000000002,145.58937500000002
AAPL,1628620500,2021-8-10 20:35:00,145.565,145.66,145.56749999999997,145.490625
AAPL,1628691000,2021-8-11 16:10:00,146.01,145.64,145.8558,146.155
AAPL,1628702400,2021-8-11 19:20:00,146.35,146.24,146.22024999999996,146.40125
AAPL,1628783400,2021-8-12 17:50:00,148.295,148.22,147.96599999999995,148.305
AAPL,1628787900,2021-8-12 19:05:00,148.305,148.23,148.20364999999998,148.309
AAPL,1628791500,2021-8-12 20:05:00,148.33,148.22,148.2801,148.33
AAPL,1628794800,2021-8-12 21:00:00,148.785,148.71,148.4745,148.71249999999998
AAPL,1628795700,2021-8-12 21:15:00,148.7,148.61,148.55825,148.726875
AAPL,1628863200,2021-8-13 16:00:00,149.21,148.7,148.79280000000003,148.8745
AAPL,1628863800,2021-8-13 16:10:00,149.15,148.93,148.81655000000003,148.97762500000002
AAPL,1628865000,2021-8-13 16:30:00,149.23,149.055,148.8958,149.1175
AAPL,1629121800,2021-8-16 15:50:00,149.4,148.27,149.1825,149.426875
AAPL,1629133500,2021-8-16 19:05:00,149.58,149.25,148.704,149.334375
AAPL,1629133800,2021-8-16 19:10:00,149.499,149.28,148.79450000000003,149.391875
