Simbolo,Time,Fecha,Entrada,Stop,MM20,MM8
AAPL,1628524800,2021-8-9 18:00:00,146.03,146.14,146.06,146.04
AAPL,1628538300,2021-8-9 21:45:00,145.97,145.87,145.95,145.93
AAPL,1628610000,2021-8-10 17:40:00,145.625,145.77,145.67,145.68
AAPL,1628623800,2021-8-10 21:30:00,145.64,145.55,145.61,145.62
AAPL,1628708400,2021-8-11 21:00:00,145.92,145.99,145.94,145.925
AAPL,1628865000,2021-8-13 16:30:00,149.23,149.055,149.18,149.21
AAPL,1628865300,2021-8-13 16:35:00,149.19,148.91,149.17,149.11
AAPL,1628881800,2021-8-13 21:10:00,148.925,148.88,148.925,148.92
AAPL,1629126900,2021-8-16 17:15:00,147.52,147.675,147.53,147.53
AAPL,1629128400,2021-8-16 17:40:00,148.15,148.33,148.21,148.22
AAPL,1629129000,2021-8-16 17:50:00,148.34,148.55,148.39,148.34
AAPL,1629133500,2021-8-16 19:05:00,149.58,149.25,149.45,149.53
AAPL,1629224100,2021-8-17 20:15:00,150.01,150.17,150.06,150.035
AAPL,1629229200,2021-8-17 21:40:00,149.94,149.72,149.91,149.88
AAPL,1629297000,2021-8-18 16:30:00,149.88,149.75,149.85,149.84
AAPL,1629392700,2021-8-19 19:05:00,147.41,147.155,147.35,147.33
AAPL,1629394200,2021-8-19 19:30:00,146.99,146.7,146.93,146.88
AAPL,1629399900,2021-8-19 21:05:00,146.875,147.08,146.94,146.95
AAPL,1629481800,2021-8-20 19:50:00,147.69,147.55,147.67,147.68
AAPL,1629816900,2021-8-24 16:55:00,150.02,149.925,150.01,149.99
AAPL,1629820500,2021-8-24 17:55:00,149.82,149.95,149.83,149.83
AAPL,1629993300,2021-8-26 17:55:00,148.11,148.21,148.13,148.14
AAPL,1629993900,2021-8-26 18:05:00,148.44,148.57,148.45,148.48
AAPL,1629997200,2021-8-26 19:00:00,148.26,148.2,148.25,148.25
AAPL,1630073700,2021-8-27 16:15:00,148.171,148.42,148.23,148.26
AAPL,1630335300,2021-8-30 16:55:00,151.93,151.72,151.88,151.91
AAPL,1630337100,2021-8-30 17:25:00,151.92,151.83,151.91,151.89
AAPL,1630339500,2021-8-30 18:05:00,152.28,152.13,152.225,152.24
AAPL,1630344000,2021-8-30 19:20:00,153.1,152.98,153.07,153.07
