"time","open","high","low","close","MA1","MA2","MA3"
1591070400,"1,11269","1,11277","1,11234","1,11257","1,10009215","1,112558","1,11278625"
1591074000,"1,11257","1,11376","1,11246","1,11339","1,1001702","1,112657","1,11282125"
1591077600,"1,11339","1,1138","1,11152","1,11188","1,1002401","1,112721","1,1126525"
1591081200,"1,11188","1,11369","1,11163","1,1128","1,1003142","1,112802","1,1126875"
1591084800,"1,1128","1,11714","1,11233","1,11702","1,10041515","1,1131035","1,1131675"
1591088400,"1,11702","1,11879","1,117","1,11801","1,10052455","1,1133765","1,113845"
1591092000,"1,11801","1,11812","1,11643","1,11685","1,10062725","1,113533","1,11440125"
1591095600,"1,11685","1,117","1,11549","1,1169","1,10073135","1,113765","1,1149275"
1591099200,"1,1169","1,11794","1,11571","1,11649","1,1008335","1,11394","1,1154175"
1591102800,"1,11649","1,1189","1,11635","1,11889","1,1009506","1,1142375","1,116105"
1591106400,"1,11889","1,11962","1,11754","1,11836","1,101059","1,1144935","1,116915"
1591110000,"1,11836","1,1188","1,11642","1,11658","1,1011583","1,1146465","1,1173875"
1591113600,"1,11658","1,1184","1,11635","1,11739","1,10125905","1,1148425","1,11743375"
1591117200,"1,11739","1,11813","1,1164","1,11706","1,10136395","1,11504","1,117315"
1591120800,"1,11706","1,11745","1,11652","1,11722","1,1014575","1,1152395","1,11736125"
1591124400,"1,11722","1,11733","1,11611","1,11652","1,1015432","1,1154395","1,11731375"
1591128000,"1,11652","1,11702","1,11632","1,11692","1,1016301","1,1156265","1,1173675"
1591131600,"1,11692","1,11721","1,11668","1,11692","1,1017218","1,115843","1,11712125"
1591135200,"1,11692","1,11745","1,11666","1,11731","1,1018389","1,1160885","1,11699"
1591138800,"1,11731","1,11877","1,11691","1,11853","1,1019557","1,1163805","1,11723375"
1591142400,"1,11853","1,12013","1,11797","1,1193","1,10207475","1,116717","1,1174725"
1591146000,"1,1193","1,12007","1,11857","1,11881","1,1021898","1,116988","1,11769125"
1591149600,"1,11881","1,11968","1,11827","1,11953","1,10230965","1,1173705","1,11798"
1591153200,"1,11953","1,12113","1,11938","1,12077","1,10243875","1,117769","1,11851125"
1591156800,"1,12077","1,12093","1,12023","1,12033","1,10256625","1,1179345","1,1189375"
1591160400,"1,12033","1,12121","1,11996","1,12039","1,10269495","1,1180535","1,11937125"
1591164000,"1,12039","1,12138","1,12031","1,12091","1,1028242","1,1182565","1,11982125"
1591167600,"1,12091","1,12277","1,12061","1,12164","1,1029578","1,1184935","1,12021"
1591171200,"1,12164","1,12183","1,11909","1,12107","1,1030893","1,1187225","1,12043125"
1591174800,"1,12107","1,12269","1,12102","1,12174","1,10322485","1,118865","1,1207975"
1591178400,"1,12174","1,12177","1,11998","1,12001","1,10335425","1,1189475","1,1208575"
1591182000,"1,12001","1,12061","1,11837","1,11943","1,10348405","1,11909","1,12069"
1591185600,"1,11943","1,12101","1,11863","1,11916","1,10361515","1,1191785","1,12054375"
1591189200,"1,11916","1,12185","1,11864","1,12147","1,10375875","1,119399","1,12067875"
1591192800,"1,12147","1,12366","1,12125","1,12167","1,10390375","1,1196215","1,12077375"
1591196400,"1,12167","1,12516","1,12157","1,12462","1,1040748","1,1200265","1,12114625"
1591200000,"1,12462","1,12494","1,12338","1,12366","1,1042434","1,1203635","1,12147"
1591203600,"1,12366","1,12402","1,12322","1,124","1,10441735","1,1207175","1,1217525"
1591207200,"1,124","1,1243","1,12331","1,12378","1,10458465","1,121041","1,12222375"
1591210800,"1,12378","1,12579","1,12354","1,12419","1,1047529","1,121324","1,12281875"
1591214400,"1,12419","1,12442","1,12318","1,12331","1,10492035","1,1215245","1,1233375"
1591218000,"1,12331","1,12377","1,12286","1,12349","1,1050897","1,1217585","1,12359"
1591221600,"1,12349","1,12362","1,12296","1,12323","1,1052606","1,1219435","1,123785"
1591225200,"1,12323","1,12366","1,12306","1,1235","1,1054315","1,12208","1,123645"
1591228800,"1,1235","1,12354","1,12136","1,12221","1,10559855","1,122174","1,12346375"
1591232400,"1,12221","1,12247","1,1216","1,12201","1,1057622","1,122255","1,123215"
1591236000,"1,12201","1,12222","1,12142","1,12143","1,10592065","1,122281","1,12292125"
1591239600,"1,12143","1,12188","1,12122","1,12164","1,1060769","1,122281","1,1226025"
1591243200,"1,12164","1,12183","1,12112","1,12153","1,10623525","1,122304","1,12238"
1591246800,"1,12153","1,122","1,12136","1,12146","1,10639455","1,12229","1,12212625"
1591250400,"1,12146","1,12212","1,12004","1,12119","1,1065484","1,122349","1,12187125"
1591254000,"1,12119","1,12126","1,11986","1,12016","1,10669525","1,1223855","1,12145375"
1591257600,"1,12016","1,12097","1,11946","1,12069","1,10684785","1,122462","1,12126375"
1591261200,"1,12069","1,1207","1,11954","1,11994","1,1070005","1,1223855","1,121005"
1591264800,"1,11994","1,12108","1,11979","1,12048","1,1071591","1,122326","1,12088625"
1591268400,"1,12048","1,12722","1,11953","1,12672","1,10734795","1,122431","1,12152125"
1591272000,"1,12672","1,12711","1,12165","1,12374","1,1075213","1,122435","1,1217975"
1591275600,"1,12374","1,12739","1,12262","1,12685","1,1077115","1,1225775","1,12247125"
1591279200,"1,12685","1,13512","1,12664","1,13435","1,107944","1,123106","1,12411625"
1591282800,"1,13435","1,13626","1,13123","1,13216","1,1081668","1,1235045","1,12561625"
1591286400,"1,13216","1,13322","1,13181","1,1329","1,10838675","1,123984","1,1271425"
1591290000,"1,1329","1,13459","1,13281","1,13443","1,10860805","1,124531","1,12895375"
1591293600,"1,13443","1,1362","1,13442","1,13484","1,1088321","1,1251115","1,13074875"
1591297200,"1,13484","1,1351","1,13293","1,13302","1,10904055","1,1255875","1,13153625"
1591300800,"1,13302","1,13382","1,1326","1,13378","1,1092573","1,126166","1,13279125"
1591304400,"1,13378","1,13392","1,13321","1,13352","1,1094773","1,1267415","1,133625"
1591308000,"1,13352","1,13431","1,13349","1,13383","1,10970015","1,1273615","1,13356"
1591311600,"1,13383","1,13445","1,13354","1,13355","1,1099203","1,127957","1,13373375"
1591315200,"1,13355","1,13444","1,13311","1,13325","1,1101399","1,128543","1,1337775"
1591318800,"1,13325","1,13387","1,1328","1,1329","1,11035545","1,129115","1,13358625"
1591322400,"1,1329","1,13334","1,13259","1,1332","1,11057225","1,1297155","1,13338125"
1591326000,"1,1332","1,13405","1,13314","1,13391","1,1107937","1,130403","1,1334925"
1591329600,"1,13391","1,13552","1,13381","1,13466","1,11101945","1,1311015","1,1336025"
1591333200,"1,13466","1,13742","1,13434","1,13691","1,11125745","1,13195","1,13402625"
1591336800,"1,13691","1,13838","1,13638","1,13733","1,1114967","1,1327925","1,13446375"
1591340400,"1,13733","1,13811","1,1345","1,13488","1,11172025","1,1332005","1,13463"
1591344000,"1,13488","1,13559","1,13262","1,13322","1,11193145","1,1336745","1,13462625"
1591347600,"1,13322","1,13372","1,13172","1,13353","1,1121429","1,1340085","1,134705"
1591351200,"1,13353","1,13355","1,13173","1,13283","1,11235105","1,1339325","1,13465875"
1591354800,"1,13283","1,13381","1,13264","1,13356","1,11255975","1,1340025","1,134615"
1591358400,"1,13356","1,13435","1,12822","1,12955","1,11274785","1,133835","1,13397625"
1591362000,"1,12955","1,13239","1,12852","1,12969","1,1129353","1,133598","1,13307375"
1591365600,"1,12969","1,13228","1,12827","1,13121","1,1131321","1,1334165","1,13230875"
1591369200,"1,13121","1,13194","1,12922","1,12956","1,11331225","1,1332435","1,13164375"
1591372800,"1,12956","1,12985","1,12852","1,12905","1,1134788","1,133007","1,1311225"
1591376400,"1,12905","1,12919","1,12787","1,12913","1,11364285","1,1327875","1,1305725"
1591380000,"1,12913","1,12993","1,12887","1,12938","1,11381285","1,132565","1,13014125"
1591383600,"1,12938","1,12995","1,12902","1,12916","1,11396945","1,1323455","1,12959125"
1591387200,"1,12916","1,12919","1,12781","1,12891","1,1141287","1,1321285","1,12951125"
1591563600,"1,1293","1,13056","1,12925","1,12972","1,1142876","1,1319695","1,129515"
1591567200,"1,12972","1,13045","1,12933","1,13018","1,11444505","1,1318185","1,12938625"
